1,1,りんご,apple
1,2,みかん,orange
1,3,車,car
1,4,電車,train
1,5,死,death
1,6,ドコモ・システムズ,DocomoSystems
1,7,コップ,cup
1,8,キーボード,keyboard
1,9,ノート,note
1,10,ペン,pen
2,1,扁桃,a-monndo
2,2,混合酒,kakuteru
2,3,蠍,sasori
2,4,筍,takenoko
2,5,蛞蝓,namekuzi
2,6,黴菌,baikinn
2,7,葡萄酒,wainn
2,8,鑢,yasuri
2,9,勿忘草,wasurenagusa
2,10,栗鼠,risu
3,1,昔の人々は明るい星を結んで星座を思い描きました。星座を作ったのはシュメール人という説もあります。,mukasinohitobitohaakaruihosiwomusunndeseizawoomoiegakimasita.seizawotukuttanohasyume-ruzinntoiusetumoarimasu.
3,2,野生のバナナには種のできるものがありますが私たちがふだん食べているバナナに種はありません。,yaseinobanananihatanenodekirumonogaarimasugawatasitatigahudanntabeteirubanananitanehaarimasenn.
3,3,私たち人間の体はやわらかい皮膚でおおわれていますが魚の体の表面にはかたいうろこがあります。,watasitatininngennnokaradahayawarakaihihudeoowareteimasugasakananokaradanohyoumennnihakataiurokogaarimasu.
3,4,フクロウは夜行性の鳥で暗いところで活動するため体にさまざまな工夫をしています。,hukurouhayakouseinotoridekuraitokorodekatudousurutamekaradanisamazamanakuhuuwositeimasu.
3,5,世界で初めて音を記録する機械を発明したのはエジソンです。,sekaidehazimeteotowokirokusurukikaiwohatumeisitanohaezisonndesu.
3,6,しかしもちろんヘリコプターの上から本をばらまくわけではありません。 ,sikasimotironnherikoputa-nouekarahonnwobaramakuwakedehaarimasenn.
3,7,腕時計の秒針はたいへん細くて軽くできています。,udedokeinobyousinnhataihennhosokutekarukudekiteimasu.
3,8,カッコウ時計が最初に作られたのは森の多いドイツでした。,kakkoudokeigasaisyonitukuraretanohamorinoooidoitudesita.
3,9,生物には天敵がつきものなのでもちろんゴキブリにも天敵は存在します。,seibutunihatenntekigatukimononanodemotironngokiburinimotenntekihasonnzaisimasu.
3,10,世界でいちばん初めに切手ができた国はイギリスです。,sekaideitibannhazimenikittegadekitakunihaigirisudesu.
